ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2022NOVGEN	3517	1105 - 400 Sargent St		Jose Ortega Elementary School - Lobby	400 Sargent St	Btw Arch & Ramsell	8.2% Slope	1105   	Pct 1105	1105   		2  
2022NOVGEN	3530	7825 - 708 Guerrero St.		Garage	708 Guerrero St	Btw 19th St & Cumberland St	6.3% Slope	7825   	Pct 7825	7825   		16  
2022NOVGEN	3532	7814 - 170 Valencia St		S F Gay Men's Chorus - Lobby	170 Valencia St	Btw Mc Coppin & Duboce	4.4% Slope	7814   	Pct 7814	7814   		16  
2022NOVGEN	3536	7847 - 291 Sussex St		Garage	291 Sussex St	Btw Swiss & Conrad	3.5% Slope	7847   	Pct 7847	7847   		16  
2022NOVGEN	3537	9129 - 632 11th Ave		Garage	632 11th Ave	Btw Cabrillo & Balboa St's	1.5% Slope	9129   	Pct 9129	9129   		19  
2022NOVGEN	3543	7334 - 550 Geary St		Hotel Adagio - Ensemble Room	550 Geary St	Enter On Shannon St Btw Geary & Post	0.5% Slope	7334   	Pct 7334	7334   		8  
2022NOVGEN	3545	7852 - 2825 Diamond St		Glen Park Library - Program Room	2825 Diamond St	Btw Bosworth & Kern	0.3% Slope	7852   	Pct 7852	7852   		16  
2022NOVGEN	3546	9803 - 728 Cole St		Eco-home - Garage (matter Of Trust Non-profit)	728 Cole St	Btw Beulah & Waller	2.6% Slope	9803   	Pct 9803	9803   		30  
2022NOVGEN	3553	1119 - 301 Naglee St		Cayuga Playground Clubhouse	301 Naglee Ave	Enter At Corner Of Cayuga & Naglee	3.4% Slope	1119   	Pct 1119	1119   		2  
2022NOVGEN	3561	9449 - 472 Country Club Dr		Garage	472 Country Club Dr	Btw Country Club & Huntington	4.6% Slope	9449   	Pct 9449	9449   		24  
2022NOVGEN	3569	7923 - 2773 24th St		Brava Theater - Cabaret Room	2773 24th St	Btw York & Hampshire	7.0% Slope	7923   	Pct 7923	7923   		17  
2022NOVGEN	3572	1118 - 2584 San Jose Ave		Garage	2584 San Jose Ave	Btw Mt. Vernon & Lakeview	6.3% Slope	1118   	Pct 1118	1118   		2  
